sample_id,lon,lat,Collection_Date,climate_method
SRR24061653,-5.31853,41.46242,7/3/18,exact
SRR24061655,-0.66228,40.48681,7/3/18,exact
SRR24061657,-4.11295,55.6217,7/4/18,exact
SRR24061658,12.02472,55.81217,6/4/18,exact
SRR24061660,29.56599,61.53067,6/29/18,exact
SRR24061662,-2.88748,42.72179,7/4/18,exact
SRR24061664,11.7546,42.36783,7/9/18,exact
SRR24061666,-0.02858,42.73694,6/20/18,exact
SRR24061671,2.64567,43.32877,6/19/18,exact
SRR24061673,-0.74711,43.97263,6/26/18,exact
SRR24061675,-7.92681,52.28728,6/18/18,exact
SRR24061677,-3.74581,55.31531,6/20/18,exact
SRR24061679,5.76607,46.19528,6/26/18,exact
SRR24061680,27.88137,64.44953,5/31/18,exact
SRR24061682,-4.04536,50.71509,6/18/18,exact
SRR24061684,26.69409,61.33663,6/28/18,exact
SRR24061686,8.42325,52.5288,7/3/18,exact
SRR24061687,14.29521,48.55431,7/2/18,exact
SRR24061688,-4.33381,40.6941,6/19/18,exact
SRR24061689,-5.66632,42.05045,6/26/18,exact
SRR24061690,17.9035,51.0479,6/29/18,exact
SRR24061692,25.53424,56.00398,6/13/18,exact
SRR24061693,22.17907,60.61784,6/21/18,exact
SRR24061694,12.80833,46.1882,7/2/18,exact
SRR24061695,12.8333,52.81131,5/31/18,exact
SRR24061696,25.79158,56.46809,6/13/18,exact
SRR24061697,26.72291,59.4293,6/18/18,exact
SRR24061698,-1.96839,41.10239,6/25/18,exact
SRR24061699,22.64507,60.19323,6/20/18,exact
SRR24061700,25.69619,60.87753,6/25/18,exact
SRR24061701,25.60887,62.08583,6/14/18,exact
SRR24061702,24.8498,60.43531,6/19/18,exact
SRR24061703,-4.81304,42.87743,6/19/18,exact
SRR24061704,1.17231,45.3515,6/26/18,exact
SRR24061705,-4.81776,55.85179,7/3/18,exact
SRR24061707,0.61923,41.27257,6/18/18,exact
SRR24061708,26.61309,61.40154,6/28/18,exact
SRR24061709,-7.5625,42.10093,6/19/18,exact
SRR24061710,8.77752,44.74014,6/20/18,exact
SRR24061711,3.47902,44.48906,7/3/18,exact
SRR24061712,-0.76891,40.69386,6/19/18,exact
SRR24061713,8.91265,53.00161,7/3/18,exact
SRR24061714,3.30058,44.92988,7/2/18,exact
SRR24061715,1.0031,41.59894,7/2/18,exact
SRR24061716,4.43105,45.30324,6/12/18,exact
SRR24061717,-1.76055,41.27334,5/28/18,exact
SRR24061719,-4.19673,42.28904,6/5/18,exact
SRR24061722,15.62305,44.57765,6/12/18,exact
SRR24061726,24.13786,54.15638,6/15/18,exact
SRR24061730,26.95459,62.73292,6/14/18,exact
SRR24061732,22.06224,53.88765,5/28/18,exact
SRR24061733,22.20342,56.54954,5/25/18,exact
SRR24061735,14.89596,52.92483,6/5/18,exact
SRR24061737,11.37079,46.66666,6/25/18,exact
SRR24061739,-2.29897,37.86188,5/30/18,exact
SRR24061741,-4.36311,48.55593,6/6/18,exact
SRR24061744,9.88054,47.53955,6/4/18,exact
SRR24061746,-2.29186,37.56979,5/30/18,exact
SRR24061748,15.57673,58.53671,6/20/18,exact
SRR24061750,15.10433,44.6947,6/5/18,exact
SRR24061751,12.62914,49.86607,6/13/18,exact
SRR24061753,-4.61609,42.88791,5/21/18,exact
SRR24061757,-0.64302,39.52255,4/20/18,exact
SRR24061759,3.83805,51.53232,5/16/18,exact
SRR24061762,-3.85201,42.50204,5/16/18,exact
SRR24061764,-6.53103,39.60938,5/23/18,exact
SRR24061766,-3.82391,42.48763,5/16/18,exact
SRR24061768,22.50901,62.1432,6/8/18,exact
SRR24061770,8.74604,50.48306,5/23/18,exact
SRR24061772,11.01964,50.07177,5/30/18,exact
SRR24061775,-3.85387,38.72911,5/15/18,exact
SRR24061777,16.11601,41.14654,5/3/18,exact
SRR24061787,1.54754,46.90324,6/4/18,exact
SRR24061788,22.76682,39.35635,5/29/18,exact
SRR24061790,-2.32041,41.89875,5/28/18,exact
SRR24061794,13.10994,48.68388,5/21/18,exact
SRR24061796,9.40372,56.24028,5/28/18,exact
SRR24061799,2.61531,46.81901,5/3/18,exact
SRR24061801,-7.51748,37.62427,5/17/18,exact
SRR24061803,10.29745,55.09096,5/28/18,exact
SRR24061805,-4.07557,37.35648,5/2/18,exact
SRR24061809,14.97485,48.29156,5/29/18,exact
